family,pool,method,acc,esc0_pct,think_pct,flops_pct,latency_s,energy_j,guard,PMC,SLAKE,VQARAD,PathV,MMMU,MX-R,MX-U
chiron,ALL-6,always-big-think [PARITY],0.5076,100.0,100.0,100.0,4.246,1175.6,4.0,0.5245,0.7019,0.6801,0.6136,0.5706,0.2258,0.2805
chiron,ALL-6,Ours (ACC-v2: agreement),0.6023,0.0,0.0,19.3,0.195,17.4,0.0,0.5395,0.8182,0.7518,0.8377,0.407,0.2047,0.2536
chiron,ALL-6,CASP-Stability (trained),0.6023,0.0,0.0,19.3,0.197,17.8,0.0,0.5395,0.8182,0.7518,0.8377,0.407,0.2047,0.2536
chiron,ALL-6,ACC-v1 (margin),0.6023,0.0,0.0,19.3,0.195,17.4,0.0,0.5395,0.8182,0.7518,0.8377,0.407,0.2047,0.2536
chiron,ALL-6,MSP/Chow,0.6023,0.0,0.0,19.3,0.197,17.7,0.0,0.5395,0.8182,0.7518,0.8377,0.407,0.2048,0.2536
chiron,ALL-6,entropy,0.6023,0.0,0.0,19.3,0.196,17.6,0.05,0.5395,0.8182,0.7518,0.8377,0.407,0.2047,0.2536
chiron,ALL-6,Gini/DOCTOR,0.6023,0.0,0.0,19.3,0.196,17.5,0.05,0.5395,0.8182,0.7518,0.8377,0.407,0.2047,0.2536
chiron,ALL-6,AutoMix (self-verify),0.6023,0.0,0.0,19.3,0.197,17.7,0.2,0.5393,0.8182,0.7518,0.8377,0.407,0.2047,0.2536
chiron,ALL-6,FrugalGPT-style learned,0.6024,0.0,0.0,19.3,0.197,17.9,0.15,0.5395,0.8182,0.7518,0.8377,0.407,0.2052,0.2531
chiron,ALL-6,Jitkrittum L2D (Diff-Prob),0.6023,0.0,0.0,19.3,0.196,17.4,0.0,0.5395,0.8182,0.7518,0.8377,0.407,0.2047,0.2536
chiron,ALL-6,random,0.6025,0.0,0.0,19.3,0.197,17.7,0.0,0.5395,0.8182,0.7518,0.8381,0.407,0.2047,0.2536
chiron,ALL-5,always-small-nt (cheap),0.7252,0.0,0.0,19.9,0.195,17.4,0.0,0.5395,0.8197,0.75,0.8379,0.4118,nan,nan
chiron,ALL-5,always-big-nt,0.6543,100.0,0.0,79.7,0.291,38.8,2.0,0.596,0.8101,0.7721,0.6645,0.5706,nan,nan
chiron,ALL-5,always-big-think [PARITY],0.5926,100.0,100.0,100.0,3.657,1005.7,4.0,0.5245,0.7019,0.6801,0.6136,0.5706,nan,nan
chiron,ALL-5,Ours (ACC-v2: agreement),0.7249,0.0,0.0,19.9,0.195,17.4,0.0,0.5395,0.8182,0.7518,0.8377,0.407,nan,nan
chiron,ALL-5,CASP-Stability (trained),0.7248,0.0,0.0,20.0,0.197,17.7,0.1,0.5395,0.8182,0.7518,0.8377,0.4058,nan,nan
chiron,ALL-5,ACC-v1 (margin),0.7249,0.0,0.0,19.9,0.195,17.4,0.0,0.5395,0.8182,0.7518,0.8377,0.407,nan,nan
chiron,ALL-5,MSP/Chow,0.7248,0.0,0.0,20.0,0.198,18.0,0.1,0.5395,0.8182,0.7518,0.8377,0.4058,nan,nan
chiron,ALL-5,entropy,0.7249,0.0,0.0,20.0,0.196,17.6,0.0,0.5395,0.8182,0.7518,0.8377,0.407,nan,nan
chiron,ALL-5,Gini/DOCTOR,0.7249,0.0,0.0,20.0,0.197,17.7,0.05,0.5395,0.8182,0.7518,0.8377,0.407,nan,nan
chiron,ALL-5,AutoMix (self-verify),0.7248,0.0,0.0,20.0,0.196,17.6,0.15,0.5393,0.8182,0.7518,0.8377,0.407,nan,nan
chiron,ALL-5,FrugalGPT-style learned,0.725,0.0,0.0,20.0,0.197,17.8,0.0,0.5395,0.8182,0.7518,0.8377,0.4128,nan,nan
chiron,ALL-5,Jitkrittum L2D (Diff-Prob),0.7249,0.0,0.0,20.0,0.196,17.5,0.0,0.5395,0.8182,0.7518,0.8377,0.4076,nan,nan
chiron,ALL-5,random,0.725,0.0,0.0,20.0,0.197,17.8,0.0,0.5395,0.8182,0.7518,0.838,0.407,nan,nan
medgemma,ALL-6,always-small-nt (cheap),0.5146,0.0,0.0,10.6,0.179,15.8,0.0,0.462,0.8389,0.8162,0.6457,0.5,0.2282,0.269
medgemma,ALL-6,always-big-nt,0.5001,100.0,0.0,66.3,0.282,63.9,4.0,0.4745,0.7933,0.7684,0.6041,0.5118,0.249,0.2617
medgemma,ALL-6,always-big-think [PARITY],0.5253,100.0,100.0,100.0,12.722,6534.5,3.0,0.4665,0.7981,0.75,0.644,0.5,0.2891,0.3267
medgemma,ALL-6,Ours (ACC-v2: agreement),0.5219,55.2,20.0,68.4,3.369,1613.5,1.15,0.4678,0.8498,0.8243,0.642,0.5523,0.2557,0.2788
medgemma,ALL-6,CASP-Stability (trained),0.5223,21.6,3.9,29.6,1.046,446.1,1.15,0.4708,0.8414,0.8191,0.646,0.5186,0.2566,0.2658
medgemma,ALL-6,ACC-v1 (margin),0.5207,62.1,41.4,93.8,5.872,2891.7,2.7,0.4615,0.8273,0.7893,0.6445,0.511,0.266,0.2885
medgemma,ALL-6,MSP/Chow,0.523,75.5,55.9,117.5,7.851,3897.9,2.95,0.4627,0.8179,0.7805,0.6462,0.5169,0.2741,0.2962
medgemma,ALL-6,entropy,0.5229,76.2,55.8,117.9,7.883,3914.0,3.1,0.4616,0.8191,0.7794,0.6461,0.5174,0.2748,0.2964
medgemma,ALL-6,Gini/DOCTOR,0.5229,75.7,56.0,117.7,7.864,3904.5,3.0,0.4626,0.8175,0.7801,0.6463,0.5169,0.2742,0.2944
medgemma,ALL-6,AutoMix (self-verify),0.519,18.2,5.6,28.1,0.895,368.3,1.55,0.4642,0.8258,0.811,0.6537,0.4924,0.2363,0.2707
medgemma,ALL-6,FrugalGPT-style learned,0.5233,18.4,4.4,28.1,1.149,501.6,1.3,0.4698,0.8376,0.8165,0.6463,0.4965,0.2683,0.2637
medgemma,ALL-6,Jitkrittum L2D (Diff-Prob),0.5199,12.9,2.5,22.1,0.7,274.0,1.45,0.4694,0.838,0.8206,0.6482,0.5041,0.2412,0.2682
medgemma,ALL-6,random,0.5199,79.2,71.2,134.4,9.498,4738.3,3.7,0.4614,0.8096,0.7658,0.6398,0.4901,0.2783,0.3045
medgemma,ALL-5,always-small-nt (cheap),0.6031,0.0,0.0,11.5,0.179,15.8,0.0,0.462,0.8389,0.8162,0.6457,0.5,nan,nan
medgemma,ALL-5,always-big-nt,0.5797,100.0,0.0,72.0,0.282,63.9,3.0,0.4745,0.7933,0.7684,0.6041,0.5118,nan,nan
medgemma,ALL-5,always-big-think [PARITY],0.5979,100.0,100.0,100.0,9.76,4990.1,3.0,0.4665,0.7981,0.75,0.644,0.5,nan,nan
medgemma,ALL-5,Ours (ACC-v2: agreement),0.6028,0.0,0.0,11.5,0.179,15.8,0.0,0.4615,0.8373,0.8162,0.6457,0.5,nan,nan
medgemma,ALL-5,CASP-Stability (trained),0.6029,0.0,0.0,11.5,0.185,18.5,0.1,0.462,0.8373,0.8162,0.6457,0.4988,nan,nan
medgemma,ALL-5,ACC-v1 (margin),0.6028,0.0,0.0,11.5,0.179,15.8,0.0,0.4615,0.8373,0.8162,0.6457,0.5,nan,nan
medgemma,ALL-5,MSP/Chow,0.6028,0.0,0.0,11.5,0.179,15.8,0.0,0.4615,0.8373,0.8162,0.6457,0.5,nan,nan
medgemma,ALL-5,entropy,0.6028,0.0,0.0,11.5,0.179,15.8,0.0,0.4615,0.8373,0.8162,0.6457,0.5,nan,nan
medgemma,ALL-5,Gini/DOCTOR,0.6028,0.0,0.0,11.5,0.179,15.8,0.0,0.4615,0.8373,0.8162,0.6457,0.5,nan,nan
medgemma,ALL-5,AutoMix (self-verify),0.6027,0.0,0.0,11.5,0.181,16.7,0.1,0.4615,0.8373,0.8162,0.6456,0.5,nan,nan
medgemma,ALL-5,FrugalGPT-style learned,0.6029,0.0,0.0,11.5,0.183,17.9,0.05,0.462,0.8373,0.8162,0.6457,0.4994,nan,nan
medgemma,ALL-5,Jitkrittum L2D (Diff-Prob),0.6028,0.0,0.0,11.5,0.181,16.6,0.05,0.4617,0.8373,0.8162,0.6456,0.5,nan,nan
medgemma,ALL-5,random,0.6026,0.0,0.0,11.5,0.181,16.5,0.35,0.4615,0.8373,0.8162,0.6455,0.5,nan,nan
